Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link,Salles d'eau,Toilettes,Surface séjour,Surface terrasse,Etage,Nbre d'étages,Exposition,Salles de bain,Vue,Environnement,Surface totale,Taxe foncière,Surface terrain,Taxe habitation
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,225593,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771023/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,320471,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771020/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,223493,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771017/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,318371,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771014/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
15/11/22,Le Diamant,97223,Appartement,Appartement FACE MER Type 3 Le DIAMANT,325000,3,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221115131218057/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
08/11/22,Le Diamant,97223,Appartement,"Résidence neuve de 26 appartements T2, T3 et T4 à 2 pas de l",183424,2,2,59.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221182128820333/,1,1,26.0,13.0,0,2,SO,0,Campagne,Bord de mer,72.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,LE DIAMANT FORTE RENTABILITE,214000,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221029429857601/,1,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,Résidence Palme Bleue - Spécial investisseur,189000,1,0,38.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221021133278763/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,Les Marines du Diamant,256735,2,0,51.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221019444472960/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,3 PIECES - LA CHERRY - DIAMANT - VEFA,318371,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221018445535157/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,2 PIECES - LA CHERRY - DIAMANT - VEFA,223398,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221018445535154/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,T1 - LA CHERRY - DIAMANT - VEFA,189000,1,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221018445535151/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,Vente appartement - 2 pièce(s),170000,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221018420452133/,1,1,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
