Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link
30/01/23,Le Diamant,97223,Appartement,Studio neuf avec terrasse pour investir au Diamant,189000,1,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231304297649327/
28/01/23,Le Diamant,97223,Maison / Villa,Villa de prestige,1149500,9,7,250.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231284292823235/
28/01/23,Le Diamant,97223,Appartement,LE DIAMANT T1 VUE MER,178200,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231284292823214/
27/01/23,Le Diamant,97223,Maison / Villa,"NOUVEAU : Villa de type F4 avec piscine, + Studio. Vue mer. ",1039500,5,4,195.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231272119885204/
27/01/23,Le Diamant,97223,Maison / Villa,Vente Maison/villa 4 pièces,530000,4,3,110.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231274111275030/
25/01/23,Le Diamant,97223,Terrain,A VENDRE 3 TERRAINS DE 600 M2 A BITAILLE,110000,0,0,600.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231252246511072/
25/01/23,Le Diamant,97223,Appartement,APPARTEMENT T3 DANS RÉSIDENCE CALME ET SECURISEE,318370,3,2,67.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231254282474353/
25/01/23,Le Diamant,97223,Appartement,APPARTEMENT T1 DANS RÉSIDENCE CALME ET SECURISEE,189000,1,0,27.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231254282474350/
25/01/23,Le Diamant,97223,Appartement,APPARTEMENT T2 DANS RESIDENCE CALME ET SECURISEE,223492,2,0,47.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231254282474347/
21/01/23,Le Diamant,97223,Local commercial,Vente Murs commerciaux 428 m²,823000,0,0,428.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231214074834293/
21/01/23,Le Diamant,97223,Local commercial,Vente Murs commerciaux 428 m²,823000,0,0,428.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231214074834257/
20/01/23,Le Diamant,97223,Appartement,Super T1 vue mer splendide,198550,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231204495544496/
20/01/23,Le Diamant,97223,Appartement,Sur la commune du DIAMANT,231000,3,2,47.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231204495544475/
20/01/23,Le Diamant,97223,Terrain,Terrain à bâtir vue mer,230050,0,0,392.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231204495544466/
19/01/23,Le Diamant,97223,Terrain,Terrain à Bâtir d'environ 9100 m2 avec projet de constructio,1595000,0,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231195119197437/
19/01/23,Le Diamant,97223,Appartement,Appartement vue mer,194400,1,0,37.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231195101094268/
14/01/23,Le Diamant,97223,Maison / Villa,BELLE VILLA DE PLAIN PIED 4 CH PISCINE LE DIAMANT MARTINIQUE,595000,5,4,115.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231144179882268/
13/01/23,Le Diamant,97223,Appartement,LE DIAMANT : appartement F3 (47 m²) en vente,233500,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231134317911894/
04/01/23,Le Diamant,97223,Maison / Villa,VILLA T5 DE PLAIN-PIED PROCHE PLAGE AVEC PISCINE,639000,5,4,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231442054373214/
03/01/23,Le Diamant,97223,Maison / Villa,LE DIAMANT - VILLA DE STANDING - 4 CHAMBRES - PISCINE,679000,5,5,120.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231321528609737/
26/12/22,Le Diamant,97223,Maison / Villa,"Villa récente de type 4 avec piscine, carbet et annexe",785000,5,3,110.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221226152610844/
23/12/22,Le Diamant,97223,Maison / Villa,VILLA T6 DE PLAIN-PIED AVEC PISICINE ET VUE MER LE DIAMANT,935000,6,4,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221223428300257/
17/12/22,Le Diamant,97223,Appartement,INVESTISSEMENT VUE MER,183600,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221217426417366/
15/12/22,Le Diamant,97223,Maison / Villa,VILLA DE PLAIN-PIED T3 + T1 BIS A VENDRE - LE DIAMANT,339000,4,2,108.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221215548746718/
15/12/22,Le Diamant,97223,Maison / Villa,Villa T5 125m2 avec Piscine et Vue Mer,555000,5,4,125.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221215522833589/
10/12/22,Le Diamant,97223,Appartement,Appartement Le Diamant,223493,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221210438075017/
03/12/22,Le Diamant,97223,Terrain,Diamant : Terrain constructible pour Professionnels,470550,0,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221234324475403/
03/12/22,Le Diamant,97223,Terrain,"Diamant : Terrain pour moitié constructible, pour Profession",988000,0,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221234324475400/
03/12/22,Le Diamant,97223,Terrain,"Diamant : Terrain en grande partie constructible, pour profe",1664000,0,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221234324475397/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,322571,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771032/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,226643,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771029/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,321521,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771026/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,225593,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771023/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,320471,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771020/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,223493,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771017/
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,318371,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771014/
25/11/22,Le Diamant,97223,Maison / Villa,MAISON T4 - LE DIAMANT,372750,4,3,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221125414839815/
15/11/22,Le Diamant,97223,Maison / Villa,LE DIAMANT - VILLA 6 PIECES ET F4,991000,6,0,600.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221115131218117/
15/11/22,Le Diamant,97223,Appartement,Appartement FACE MER Type 3 Le DIAMANT,325000,3,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221115131218057/
10/11/22,Le Diamant,97223,Maison / Villa,Villa T5 avec piscine,679000,6,4,144.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221110123657246/
08/11/22,Le Diamant,97223,Appartement,"Résidence neuve de 26 appartements T2, T3 et T4 à 2 pas de l",183424,2,2,59.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221182128820333/
06/11/22,Le Diamant,97223,Maison / Villa,Vente Maison/villa 6 pièces,695000,6,5,160.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221164471166430/
01/11/22,Le Diamant,97223,Maison / Villa,LE DIAMANT VILLA PROCHE PLAGE,638000,5,4,110.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221114301360629/
30/10/22,Le Diamant,97223,Appartement,LE DIAMANT FORTE RENTABILITE,214000,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221029429857601/
30/10/22,Le Diamant,97223,Local commercial,Ensemble immobilier Le Diamant 1592 m2,890000,0,0,1592.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221027416652199/
30/10/22,Le Diamant,97223,Maison / Villa,Vente maison - 5 pièce(s),799000,5,4,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221023132996817/
30/10/22,Le Diamant,97223,Terrain,Terrain constructible à la campagne,204000,0,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221023122718937/
30/10/22,Le Diamant,97223,Appartement,Résidence Palme Bleue - Spécial investisseur,189000,1,0,38.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221021133278763/
